"Question","Cypher"
"Tôi muốn tìm các căn nhà ở quận Thanh Trì có hướng Tây Nam","MATCH (:City {name:""bất động sản hà nội""})-[:HAS_LOCATION]->(d:District {name:""thanh trì""})-[:HAS_PROPERTY]->(p:Property)
MATCH (p)-[:HAS_DIRECTION]->(dir:Direction)
WHERE toLower(dir.name) CONTAINS ""tây nam""
OPTIONAL MATCH (p)-[:HAS_PRICE]->(price:PriceVND)
OPTIONAL MATCH (p)-[:HAS_AREA]->(area:Area)
OPTIONAL MATCH (p)-[:HAS_PROPERTY_TYPE]->(ptype:PropertyType)
OPTIONAL MATCH (p)-[:HAS_LEGAL_STATUS]->(ls:LegalStatus)
OPTIONAL MATCH (p)-[:HAS_AMENITY]->(amen:Amenity)
OPTIONAL MATCH (p)-[:HAS_DESIGN]->(design:HouseDesign)
OPTIONAL MATCH (p)-[:LOCATED_AT]->(addr:Address)
RETURN DISTINCT
  p.id AS id,
  d.name AS district_name,
  ptype.name AS property_type,
  COLLECT(DISTINCT toLower(design.name)) AS house_design,
  toFloat(area.value) AS area_m2,
  toFloat(price.value) AS price_ty_vnd,
  addr.name AS full_address,
  COLLECT(DISTINCT toLower(ls.name)) AS legal_status,
  COLLECT(DISTINCT toLower(dir.name)) AS direction,
  COLLECT(DISTINCT toLower(amen.name)) AS internal_amenities
ORDER BY toFloat(price.value) ASC
LIMIT 10"
"Có nhà nào hướng Đông Bắc ở Thanh Trì không?","MATCH (:City {name:""bất động sản hà nội""})-[:HAS_LOCATION]->(d:District {name:""thanh trì""})-[:HAS_PROPERTY]->(p:Property)
MATCH (p)-[:HAS_DIRECTION]->(dir:Direction)
WHERE toLower(dir.name) CONTAINS ""đông bắc""
OPTIONAL MATCH (p)-[:HAS_PRICE]->(price:PriceVND)
OPTIONAL MATCH (p)-[:HAS_AREA]->(area:Area)
OPTIONAL MATCH (p)-[:HAS_PROPERTY_TYPE]->(ptype:PropertyType)
OPTIONAL MATCH (p)-[:HAS_LEGAL_STATUS]->(ls:LegalStatus)
OPTIONAL MATCH (p)-[:HAS_AMENITY]->(amen:Amenity)
OPTIONAL MATCH (p)-[:HAS_DESIGN]->(design:HouseDesign)
OPTIONAL MATCH (p)-[:LOCATED_AT]->(addr:Address)
RETURN DISTINCT
  p.id AS id,
  d.name AS district_name,
  ptype.name AS property_type,
  COLLECT(DISTINCT toLower(design.name)) AS house_design,
  toFloat(area.value) AS area_m2,
  toFloat(price.value) AS price_ty_vnd,
  addr.name AS full_address,
  COLLECT(DISTINCT toLower(ls.name)) AS legal_status,
  COLLECT(DISTINCT toLower(dir.name)) AS direction,
  COLLECT(DISTINCT toLower(amen.name)) AS internal_amenities
ORDER BY toFloat(price.value) ASC
LIMIT 10"
"Nhà hướng Tây Nam tại Thanh Xuân còn không?","MATCH (:City {name:""bất động sản hà nội""})-[:HAS_LOCATION]->(d:District {name:""thanh xuân""})-[:HAS_PROPERTY]->(p:Property)
MATCH (p)-[:HAS_DIRECTION]->(dir:Direction)
WHERE toLower(dir.name) CONTAINS ""tây nam""
OPTIONAL MATCH (p)-[:HAS_PRICE]->(price:PriceVND)
OPTIONAL MATCH (p)-[:HAS_AREA]->(area:Area)
OPTIONAL MATCH (p)-[:HAS_PROPERTY_TYPE]->(ptype:PropertyType)
OPTIONAL MATCH (p)-[:HAS_LEGAL_STATUS]->(ls:LegalStatus)
OPTIONAL MATCH (p)-[:HAS_AMENITY]->(amen:Amenity)
OPTIONAL MATCH (p)-[:HAS_DESIGN]->(design:HouseDesign)
OPTIONAL MATCH (p)-[:LOCATED_AT]->(addr:Address)
RETURN DISTINCT
  p.id AS id,
  d.name AS district_name,
  ptype.name AS property_type,
  COLLECT(DISTINCT toLower(design.name)) AS house_design,
  toFloat(area.value) AS area_m2,
  toFloat(price.value) AS price_ty_vnd,
  addr.name AS full_address,
  COLLECT(DISTINCT toLower(ls.name)) AS legal_status,
  COLLECT(DISTINCT toLower(dir.name)) AS direction,
  COLLECT(DISTINCT toLower(amen.name)) AS internal_amenities
ORDER BY toFloat(price.value) ASC
LIMIT 10"
"Cho tôi xem các căn hướng Tây Nam ở Thanh Xuân","MATCH (:City {name:""bất động sản hà nội""})-[:HAS_LOCATION]->(d:District {name:""thanh xuân""})-[:HAS_PROPERTY]->(p:Property)
MATCH (p)-[:HAS_DIRECTION]->(dir:Direction)
WHERE toLower(dir.name) CONTAINS ""tây nam""
OPTIONAL MATCH (p)-[:HAS_PRICE]->(price:PriceVND)
OPTIONAL MATCH (p)-[:HAS_AREA]->(area:Area)
OPTIONAL MATCH (p)-[:HAS_PROPERTY_TYPE]->(ptype:PropertyType)
OPTIONAL MATCH (p)-[:HAS_LEGAL_STATUS]->(ls:LegalStatus)
OPTIONAL MATCH (p)-[:HAS_AMENITY]->(amen:Amenity)
OPTIONAL MATCH (p)-[:HAS_DESIGN]->(design:HouseDesign)
OPTIONAL MATCH (p)-[:LOCATED_AT]->(addr:Address)
RETURN DISTINCT
  p.id AS id,
  d.name AS district_name,
  ptype.name AS property_type,
  COLLECT(DISTINCT toLower(design.name)) AS house_design,
  toFloat(area.value) AS area_m2,
  toFloat(price.value) AS price_ty_vnd,
  addr.name AS full_address,
  COLLECT(DISTINCT toLower(ls.name)) AS legal_status,
  COLLECT(DISTINCT toLower(dir.name)) AS direction,
  COLLECT(DISTINCT toLower(amen.name)) AS internal_amenities
ORDER BY toFloat(price.value) ASC
LIMIT 10"
"Tìm nhà hướng Nam ở Thanh Xuân","MATCH (:City {name:""bất động sản hà nội""})-[:HAS_LOCATION]->(d:District {name:""thanh xuân""})-[:HAS_PROPERTY]->(p:Property)
MATCH (p)-[:HAS_DIRECTION]->(dir:Direction)
WHERE toLower(dir.name) CONTAINS ""nam""
OPTIONAL MATCH (p)-[:HAS_PRICE]->(price:PriceVND)
OPTIONAL MATCH (p)-[:HAS_AREA]->(area:Area)
OPTIONAL MATCH (p)-[:HAS_PROPERTY_TYPE]->(ptype:PropertyType)
OPTIONAL MATCH (p)-[:HAS_LEGAL_STATUS]->(ls:LegalStatus)
OPTIONAL MATCH (p)-[:HAS_AMENITY]->(amen:Amenity)
OPTIONAL MATCH (p)-[:HAS_DESIGN]->(design:HouseDesign)
OPTIONAL MATCH (p)-[:LOCATED_AT]->(addr:Address)
RETURN DISTINCT
  p.id AS id,
  d.name AS district_name,
  ptype.name AS property_type,
  COLLECT(DISTINCT toLower(design.name)) AS house_design,
  toFloat(area.value) AS area_m2,
  toFloat(price.value) AS price_ty_vnd,
  addr.name AS full_address,
  COLLECT(DISTINCT toLower(ls.name)) AS legal_status,
  COLLECT(DISTINCT toLower(dir.name)) AS direction,
  COLLECT(DISTINCT toLower(amen.name)) AS internal_amenities
ORDER BY toFloat(price.value) ASC
LIMIT 10"
"Có căn nào hướng Bắc hơi chếch Đông ở Thanh Xuân không?","MATCH (:City {name:""bất động sản hà nội""})-[:HAS_LOCATION]->(d:District {name:""thanh xuân""})-[:HAS_PROPERTY]->(p:Property)
MATCH (p)-[:HAS_DIRECTION]->(dir:Direction)
WHERE toLower(dir.name) CONTAINS ""bắc""
  AND toLower(dir.name) CONTAINS ""đông""
OPTIONAL MATCH (p)-[:HAS_PRICE]->(price:PriceVND)
OPTIONAL MATCH (p)-[:HAS_AREA]->(area:Area)
OPTIONAL MATCH (p)-[:HAS_PROPERTY_TYPE]->(ptype:PropertyType)
OPTIONAL MATCH (p)-[:HAS_LEGAL_STATUS]->(ls:LegalStatus)
OPTIONAL MATCH (p)-[:HAS_AMENITY]->(amen:Amenity)
OPTIONAL MATCH (p)-[:HAS_DESIGN]->(design:HouseDesign)
OPTIONAL MATCH (p)-[:LOCATED_AT]->(addr:Address)
RETURN DISTINCT
  p.id AS id,
  d.name AS district_name,
  ptype.name AS property_type,
  COLLECT(DISTINCT toLower(design.name)) AS house_design,
  toFloat(area.value) AS area_m2,
  toFloat(price.value) AS price_ty_vnd,
  addr.name AS full_address,
  COLLECT(DISTINCT toLower(ls.name)) AS legal_status,
  COLLECT(DISTINCT toLower(dir.name))  AS direction,
  COLLECT(DISTINCT toLower(amen.name)) AS internal_amenities
ORDER BY toFloat(price.value) ASC
LIMIT 10"
"Nhà hướng Đông Nam ở Thanh Xuân có không?","MATCH (:City {name:""bất động sản hà nội""})-[:HAS_LOCATION]->(d:District {name:""thanh xuân""})-[:HAS_PROPERTY]->(p:Property)
MATCH (p)-[:HAS_DIRECTION]->(dir:Direction)
WHERE toLower(dir.name) CONTAINS ""đông nam""
OPTIONAL MATCH (p)-[:HAS_PRICE]->(price:PriceVND)
OPTIONAL MATCH (p)-[:HAS_AREA]->(area:Area)
OPTIONAL MATCH (p)-[:HAS_PROPERTY_TYPE]->(ptype:PropertyType)
OPTIONAL MATCH (p)-[:HAS_LEGAL_STATUS]->(ls:LegalStatus)
OPTIONAL MATCH (p)-[:HAS_AMENITY]->(amen:Amenity)
OPTIONAL MATCH (p)-[:HAS_DESIGN]->(design:HouseDesign)
OPTIONAL MATCH (p)-[:LOCATED_AT]->(addr:Address)
RETURN DISTINCT
  p.id AS id,
  d.name AS district_name,
  ptype.name AS property_type,
  COLLECT(DISTINCT toLower(design.name)) AS house_design,
  toFloat(area.value) AS area_m2,
  toFloat(price.value) AS price_ty_vnd,
  addr.name AS full_address,
  COLLECT(DISTINCT toLower(ls.name)) AS legal_status,
  COLLECT(DISTINCT toLower(dir.name)) AS direction,
  COLLECT(DISTINCT toLower(amen.name)) AS internal_amenities
ORDER BY toFloat(price.value) ASC
LIMIT 10"
"Cần tìm nhà hướng Tây Tứ Trạch tại Thanh Xuân","MATCH (:City {name:""bất động sản hà nội""})-[:HAS_LOCATION]->(d:District {name:""thanh xuân""})-[:HAS_PROPERTY]->(p:Property)
MATCH (p)-[:HAS_DIRECTION]->(dir:Direction)
WHERE toLower(dir.name) CONTAINS ""tây""
OPTIONAL MATCH (p)-[:HAS_PRICE]->(price:PriceVND)
OPTIONAL MATCH (p)-[:HAS_AREA]->(area:Area)
OPTIONAL MATCH (p)-[:HAS_PROPERTY_TYPE]->(ptype:PropertyType)
OPTIONAL MATCH (p)-[:HAS_LEGAL_STATUS]->(ls:LegalStatus)
OPTIONAL MATCH (p)-[:HAS_AMENITY]->(amen:Amenity)
OPTIONAL MATCH (p)-[:HAS_DESIGN]->(design:HouseDesign)
OPTIONAL MATCH (p)-[:LOCATED_AT]->(addr:Address)
RETURN DISTINCT
  p.id AS id,
  d.name AS district_name,
  ptype.name AS property_type,
  COLLECT(DISTINCT toLower(design.name)) AS house_design,
  toFloat(area.value) AS area_m2,
  toFloat(price.value) AS price_ty_vnd,
  addr.name AS full_address,
  COLLECT(DISTINCT toLower(ls.name)) AS legal_status,
  COLLECT(DISTINCT toLower(dir.name)) AS direction,
  COLLECT(DISTINCT toLower(amen.name)) AS internal_amenities
ORDER BY toFloat(price.value) ASC
LIMIT 10"
"Cho tôi xem nhà hướng Nam ở Tây Hồ","MATCH (:City {name:""bất động sản hà nội""})-[:HAS_LOCATION]->(d:District {name:""tây hồ""})-[:HAS_PROPERTY]->(p:Property)
MATCH (p)-[:HAS_DIRECTION]->(dir:Direction)
WHERE toLower(dir.name) CONTAINS ""nam""
OPTIONAL MATCH (p)-[:HAS_PRICE]->(price:PriceVND)
OPTIONAL MATCH (p)-[:HAS_AREA]->(area:Area)
OPTIONAL MATCH (p)-[:HAS_PROPERTY_TYPE]->(ptype:PropertyType)
OPTIONAL MATCH (p)-[:HAS_LEGAL_STATUS]->(ls:LegalStatus)
OPTIONAL MATCH (p)-[:HAS_AMENITY]->(amen:Amenity)
OPTIONAL MATCH (p)-[:HAS_DESIGN]->(design:HouseDesign)
OPTIONAL MATCH (p)-[:LOCATED_AT]->(addr:Address)
RETURN DISTINCT
  p.id AS id,
  d.name AS district_name,
  ptype.name AS property_type,
  COLLECT(DISTINCT toLower(design.name)) AS house_design,
  toFloat(area.value) AS area_m2,
  toFloat(price.value) AS price_ty_vnd,
  addr.name AS full_address,
  COLLECT(DISTINCT toLower(ls.name)) AS legal_status,
  COLLECT(DISTINCT toLower(dir.name)) AS direction,
  COLLECT(DISTINCT toLower(amen.name)) AS internal_amenities
ORDER BY toFloat(price.value) ASC
LIMIT 10"
"Căn nào ở Tây Hồ hướng Tây vậy?","MATCH (:City {name:""bất động sản hà nội""})-[:HAS_LOCATION]->(d:District {name:""tây hồ""})-[:HAS_PROPERTY]->(p:Property)
MATCH (p)-[:HAS_DIRECTION]->(dir:Direction)
WHERE toLower(dir.name) CONTAINS ""tây""
OPTIONAL MATCH (p)-[:HAS_PRICE]->(price:PriceVND)
OPTIONAL MATCH (p)-[:HAS_AREA]->(area:Area)
OPTIONAL MATCH (p)-[:HAS_PROPERTY_TYPE]->(ptype:PropertyType)
OPTIONAL MATCH (p)-[:HAS_LEGAL_STATUS]->(ls:LegalStatus)
OPTIONAL MATCH (p)-[:HAS_AMENITY]->(amen:Amenity)
OPTIONAL MATCH (p)-[:HAS_DESIGN]->(design:HouseDesign)
OPTIONAL MATCH (p)-[:LOCATED_AT]->(addr:Address)
RETURN DISTINCT
  p.id AS id,
  d.name AS district_name,
  ptype.name AS property_type,
  COLLECT(DISTINCT toLower(design.name)) AS house_design,
  toFloat(area.value) AS area_m2,
  toFloat(price.value) AS price_ty_vnd,
  addr.name AS full_address,
  COLLECT(DISTINCT toLower(ls.name)) AS legal_status,
  COLLECT(DISTINCT toLower(dir.name)) AS direction,
  COLLECT(DISTINCT toLower(amen.name)) AS internal_amenities
ORDER BY toFloat(price.value) ASC
LIMIT 10"
